doi,title,publication year,publication venue,type,issue,volume
10.1093/ecam/nep003,Antioxidant and Preventive Effects of Extract fromNymphaea candidaFlower onIn VitroImmunological Liver Injury of Rat Primary Hepatocyte Cultures,2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1007/bf02869152,Biochemical diagnosis of liver disease,1999,Indian Journal of Clinical Biochemistry,journal article,1,14
10.1111/j.1440-1746.1990.tb01426.x,Assessment of liver function: Principles and practice,1990,Journal of Gastroenterology and Hepatology,journal article,4,5
10.1007/bf01995065,Die Eck'sche Fistel zwischen der unteren Hohlvene und der Pfortader und ihre Folgen für den Organismus,1893,Archiv für Experimentelle Pathologie und Pharmakologie,journal article,3-4,32
10.1155/2009/249096,A Comparison of the Modified Score for the Assessment of Chronic Rheumatoid Affections of the Hands and the Australian/Canadian Osteoarthritis Hand Index in Hand Osteoarthritis Patients,2009,International Journal of Rheumatology,journal article,,2009
10.1136/ard.62.6.576,"Epidemiological profile of symptomatic osteoarthritis in older adults: a population based study in Dicomano, Italy",2003,Annals of the Rheumatic Diseases,journal article,6,62
10.1093/ecam/nep014,Brazilian Green Propolis: EffectsIn VitroandIn VivoonTrypanosoma cruzi,2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1590/s0074-02762007005000106,An overview of Chagas disease treatment,2007,Memórias do Instituto Oswaldo Cruz,journal article,suppl 1,102
10.1590/s0074-02762002000500002,The impact of Chagas disease control in Latin America: a review,2002,Memórias do Instituto Oswaldo Cruz,journal article,5,97
10.1590/s0074-02762001000500004,Biogeography of Triatominae (Hemiptera: Reduviidae) in Ecuador: implications for the design of control strategies,2001,Memórias do Instituto Oswaldo Cruz,journal article,5,96
10.1016/s0035-9203(00)90213-x,The use of live-bait traps for the study of sylvatic Rhodnius populations (Hemiptera: Reduviidae) in palm trees,2000,Transactions of the Royal Society of Tropical Medicine and Hygiene,journal article,6,94
10.1590/s0074-02761999000700076,Epidemiology of Chagas disease in Ecuador. A brief review,1999,Memórias do Instituto Oswaldo Cruz,journal article,suppl 1,94
10.1590/s0074-02761988000500043,Current research on Amazonian Triatominae,1988,Memórias do Instituto Oswaldo Cruz,journal article,suppl 1,83
10.1155/2009/730165,A Simple Approach for Enhancing the Output Performance of Solar-Pumped Solid-State Lasers,2009,International Journal of Optics,journal article,,2009
10.1364/ao.5.000993,A Sun-Pumped cw One-Watt Laser,1966,Applied Optics,journal article,6,5
10.1063/1.1753928,"LASER OSCILLATIONS IN Nd‐DOPED YTTRIUM ALUMINUM, YTTRIUM GALLIUM AND GADOLINIUM GARNETS",1964,Applied Physics Letters,journal article,10,4
10.1103/physrev.126.1406,Continuous Operation of a Solid-State Optical Maser,1962,Physical Review,journal article,4,126
10.1063/1.1702515,Optical Maser Characteristics of Nd3+ in CaF2,1962,Journal of Applied Physics,journal article,2,33
10.1155/2009/287547,Selective Depolymerization and Effects of Homolysis of Poly(L-lactic acid) in a Blend with Polypropylene,2009,International Journal of Polymer Science,journal article,,2009
10.1016/s0141-3910(97)00148-1,"Large-scale production, properties and commercial applications of polylactic acid polymers",1998,Polymer Degradation and Stability,journal article,1-3,59
10.1155/2006/75831,Laser Cleaning Tests on Archaeological Copper Alloys Using an ND:YAG Laser,2006,Laser Chemistry,journal article,,2006
10.1016/s0010-938x(98)00096-1,Morphology and mechanisms of formation of natural patinas on archaeological Cu–Sn alloys,1998,Corrosion Science,journal article,12,40
10.1155/2007/15925,"New Samarium(III), Gadolinium(III), and Dysprosium(III) Complexes of Coumarin-3-Carboxylic Acid as Antiproliferative Agents",2007,Metal-Based Drugs,journal article,,2007
10.3109/03602539008991449,"The Pharmacology, Metabolism, Analysis, and Applications of Coumarin and Coumarin-Related Compounds",1990,Drug Metabolism Reviews,journal article,5,22
10.1016/0015-6264(79)90289-x,Critical review of the toxicology of coumarin with special reference to interspecies differences in metabolism and hepatotoxic response and their significance to man,1979,Food and Cosmetics Toxicology,journal article,3,17
10.1155/2009/153643,Low-Molecular-Weight Heparin Use in a Case of Noncardiogenic Multifocal Perinatal Thromboembolic Stroke,2009,Advances in Hematology,journal article,,2009
10.1161/strokeaha.108.189696,Management of Stroke in Infants and Children,2008,Stroke,journal article,9,39
10.1002/ana.10423,Investigation of risk factors in children with arterial ischemic stroke,2003,Annals of Neurology,journal article,2,53
10.1177/088307389701200308,Ischemic Cerebrovascular Disease in Children: Retrospective Study of 35 Patients,1997,Journal of Child Neurology,journal article,3,12
10.1212/wnl.28.8.763,"Cerebrovascular disease in infants and children: A study of incidence, clinical features, and survival",1978,Neurology,journal article,8,28
10.1093/ecam/nep008,eCAM: Clinical Analyses and Increasing Visibility,2009,Evidence-Based Complementary and Alternative Medicine,journal article,1,6
10.1093/ecam/neh002,"Complementary and Alternative Medicine, When Rigorous, can be Science",2004,Evidence-Based Complementary and Alternative Medicine,journal article,1,1
10.1080/02688690802272164,Heparin-induced thrombocytopenia associated with intra-tumour haemorrhage in cavernous sinus after cardiac myxoma surgery,2009,British Journal of Neurosurgery,journal article,1,23
10.1054/blre.2001.0189,Heparin-induced thrombocytopenia: an overview,2002,Blood Reviews,journal article,1,16
10.1093/ecam/nep005,Theories and Management of Aging: Modern and Ayurveda Perspectives,2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1001/archinte.162.7.745,Aging in the 21st Century: A Call for Papers,2002,Archives of Internal Medicine,journal article,7,162
10.1155/2008/935095,Analytic Approximate Solutions for Unsteady Two-Dimensional and Axisymmetric Squeezing Flows between Parallel Plates,2008,Mathematical Problems in Engineering,journal article,,2008
10.1098/rstl.1886.0005,"IV. On the theory of lubrication and its application to Mr. Beauchamp tower’s experiments, including an experimental determination of the viscosity of olive oil",1886,Philosophical Transactions of the Royal Society of London,journal article,,177
10.1093/ecam/nep015,Wound Healing Activity of Topical Application Forms Based on Ayurveda,2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1111/1523-1747.ep12289705,"Aging Is Associated with Reduced Deposition of Specific Extracellular Matrix Components, an Upregulation of Angiogenesis, and an Altered Inflammatory Response in a Murine Incisional Wound Healing Model",1997,Journal of Investigative Dermatology,journal article,4,108
10.1155/2008/893409,A Theory of Besov and Triebel-Lizorkin Spaces on Metric Measure Spaces Modeled on Carnot-Carathéodory Spaces,2008,Abstract and Applied Analysis,journal article,,2008
10.1007/s11511-006-0002-8,On the geometry of metric measure spaces,2006,Acta Mathematica,journal article,1,196
10.1155/2009/109717,Solvent-Free Microwave Synthesis of Aryloxypropanolamines by Ring Opening of Aryloxy Epoxides,2009,Research Letters in Organic Chemistry,journal article,,2009
10.1248/cpb.42.1609,Studies on Agents with Vasodilator and .BETA.-Blocking Activities. I.,1994,CHEMICAL & PHARMACEUTICAL BULLETIN,journal article,8,42
10.1155/2008/806705,Scatter and Blurring Compensation in Inhomogeneous Media Using a Postprocessing Method,2008,International Journal of Biomedical Imaging,journal article,,2008
10.1109/tmi.2002.803130,Efficient fully 3-D iterative SPECT reconstruction with Monte Carlo-based scatter compensation,2002,IEEE Transactions on Medical Imaging,journal article,8,21
10.1155/2007/92595,Chemical Analysis through CL-Detection Assisted by Periodate Oxidation,2007,Bioinorganic Chemistry and Applications,journal article,,2007
10.1063/1.1734588,Red Chemiluminescence of Molecular Oxygen in Aqueous Solution,1963,The Journal of Chemical Physics,journal article,8,39
10.1016/0003-2697(60)90019-1,A photoelectric method for the measurement of spectra of light sources of rapidly varying intensities,1960,Analytical Biochemistry,journal article,1,1
10.1155/2008/361324,Has the Data Efflux Regarding the Promising Outcome Following Injection of Deflux Changed the Management of Adult Vesicoureteral Reflux?,2008,Advances in Urology,journal article,,2008
10.1046/j.1464-410x.1999.0830s30iv.x,Editorial: Adolescent Urology,2002,BJU International,journal article,S3,83
10.1155/2008/740845,Bank Valuation and Its Connections with the Subprime Mortgage Crisis and Basel II Capital Accord,2008,Discrete Dynamics in Nature and Society,journal article,,2008
10.1155/2007/29343,Maximizing Banking Profit on a Random Time Interval,2007,Journal of Applied Mathematics,journal article,,2007
10.1016/0378-4266(95)00002-x,The role of capital in financial institutions,1995,Journal of Banking & Finance,journal article,3-4,19
10.4028/www.scientific.net/msf.509.17,Microstructural Evolution of a Commercial 0.04%C Steel During Batch Annealing,2006,Materials Science Forum,journal article,,509
10.4028/www.scientific.net/msf.554.123,Silicon Nitride – Carbon Nanotube Composites,2007,Materials Science Forum,journal article,,554
10.1038/354056a0,Helical microtubules of graphitic carbon,1991,Nature,journal article,6348,354
10.1038/318162a0,C60: Buckminsterfullerene,1985,Nature,journal article,6042,318
10.1063/1.440991,Laser production of supersonic metal cluster beams,1981,The Journal of Chemical Physics,journal article,11,74
10.1021/ar50156a006,"Synthesis, molecular dynamics, and reactivity of mixed-metal clusters",1980,Accounts of Chemical Research,journal article,12,13
10.4028/www.scientific.net/msf.560.17,Thixotropic Behaviour of a Cu – Eutectic Sn-Pb Slurry,2007,Materials Science Forum,journal article,,560
10.1007/bf02661090,Behavior of metal alloys in the semisolid state,1991,Metallurgical Transactions A,journal article,5,22
10.2355/isijinternational1966.26.1045,Mathematical analysis of solute redistribution during solidification with diffusion in solid phase.,1986,Transactions of the Iron and Steel Institute of Japan,journal article,12,26
10.4028/www.scientific.net/msf.604-605.67,Microstructure and Mechanical Characterization of an Al-Zn-Mg Alloy after Various Heat Treatments and Room Temperature Deformation,2008,Materials Science Forum,journal article,,604-605
10.1016/s0921-5093(01)01876-7,Investigation of fine scale precipitates in Al–Zn–Mg alloys after various heat treatments,2002,Materials Science and Engineering: A,journal article,1,327
10.4028/www.scientific.net/msf.604-605.379,Warm Formability of AZ31 Magnesium Alloy Sheets under Different Process Conditions,2008,Materials Science Forum,journal article,,604-605
10.1016/j.jmatprotec.2006.03.150,Deep-drawing of magnesium alloy sheets at warm temperatures,2007,Journal of Materials Processing Technology,journal article,1-3,185
10.4028/www.scientific.net/kem.248.91,Optical Properties of Heavily Aluminum-Doped Zinc Oxide Thin Films Prepared by Molecular Beam Epitaxy,2003,Key Engineering Materials,journal article,,248
10.1143/jjap.40.250,Growth of Undoped ZnO Films with Improved Electrical Properties by Radical Source Molecular Beam Epitaxy,2001,Japanese Journal of Applied Physics,journal article,"Part 1, No. 1",40
10.4028/www.scientific.net/kem.248.103,"Basic Examination for Nodulation-Doped (Zn,Mg,Al)O/ZnO",2003,Key Engineering Materials,journal article,,248
10.1557/proc-426-143,"The Performance of Cu(In, Ga)Se2-Based Solar Cells in Conventional and Concentrator Applications",1996,MRS Proceedings,journal article,,426
10.1116/1.578018,Grid metallization and antireflection coating optimization for concentrator and one‐sun photovoltaic solar cells,1992,"Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films",journal article,4,10
10.4028/www.scientific.net/kem.319.103,Low-Frequency High-Temperature Internal Friction in Ti-13Nb-13Zr Alloy,2006,Key Engineering Materials,journal article,,319
10.1016/0921-5093(96)10243-4,The use of titanium for medical applications in the USA,1996,Materials Science and Engineering: A,journal article,1-2,213
10.4028/www.scientific.net/kem.319.121,Influence of Oxygen on the Damping Properties of Nb-Zr Alloys,2006,Key Engineering Materials,journal article,,319
10.1016/s0031-8914(39)90061-3,Letter to the editor,1939,Physica,journal article,7-12,6
10.4028/www.scientific.net/kem.367.79,Hot Workability and Constitutive Equations of ZM21 Magnesium Alloy,2008,Key Engineering Materials,journal article,,367
10.1016/s1359-6462(97)00344-8,Microstructural development in Mg alloy AZ31 during hot working,1997,Scripta Materialia,journal article,11,37
10.4028/www.scientific.net/kem.367.87,Constitutive Models for AZ31 Magnesium Alloys,2008,Key Engineering Materials,journal article,,367
10.1016/j.msea.2004.04.057,Effect of materials and temperature on the forward extrusion of magnesium alloys,2004,Materials Science and Engineering: A,journal article,1-2,381
10.4028/www.scientific.net/kem.367.161,Input Parameters Determination for Predicting Ram Speed and Billet Temperature for the First Billet,2008,Key Engineering Materials,journal article,,367
10.1007/11816157_58,Springback and Geometry Prediction – Neural Networks Applied to the Air Bending Process,2006,Lecture Notes in Computer Science - Intelligent Computing,book chapter,,
10.1016/s0924-0136(98)00122-8,Effect of the training set size on springback control by neural network in an air bending process,1998,Journal of Materials Processing Technology,journal article,,80-81
10.4028/www.scientific.net/kem.377.99,Calcium Phosphates / Biphosphonates Combinations…Towards a Therapeutic Synergy,2008,Key Engineering Materials,journal article,,377
10.4028/www.scientific.net/kem.367.215,A New Low Friction Die Design for Equal Channel Angular Extrusion,2008,Key Engineering Materials,journal article,,367
10.1016/s0079-6425(99)00007-9,Bulk nanostructured materials from severe plastic deformation,2000,Progress in Materials Science,journal article,2,45
10.4028/www.scientific.net/kem.404.33,A Focused Review on Enhancing the Abrasive Waterjet Cutting Performance by Using Controlled Nozzle Oscillation,2009,Key Engineering Materials,journal article,,404
10.1016/s0007-8506(07)61127-5,On the Selection of Manufacturing Methods Illustrated by an Overview of Separation Techniques for Sheet Materials,1989,CIRP Annals,journal article,2,38
10.4028/www.scientific.net/msf.386-388.251,A New Mechanochemical Method for Metal Coating,2002,Materials Science Forum,journal article,,386-388
10.1016/0040-6090(80)90544-1,Preparation of titanium nitride by a pulsed d.c. magnetron reactive deposition techniques using the moving mode of deposition,1980,Thin Solid Films,journal article,3,72
10.4028/www.scientific.net/msf.404-407.527,Measurement of the Residual Stresses around a Cold Expanded Hole in an EN8 Steel Plate Using the Contour Method,2002,Materials Science Forum,journal article,,404-407
10.1115/1.1345526,Cross-Sectional Mapping of Residual Stresses by Measuring the Surface Contour After a Cut,2000,Journal of Engineering Materials and Technology,journal article,2,123
10.1115/1.3226060,Measurement of Non-Uniform Residual Stresses Using the Hole-Drilling Method. Part II—Practical Application of the Integral Method,1988,Journal of Engineering Materials and Technology,journal article,4,110
10.4028/www.scientific.net/msf.414-415.147,Development of Monotectic Surface Layers by CO<sub>2</sub> Laser,2003,Materials Science Forum,journal article,,414-415
10.1016/0257-8972(91)90249-v,Laser surface alloying of steel with TiC,1991,Surface and Coatings Technology,journal article,1-3,45
10.4028/www.scientific.net/msf.414-415.153,Porosity Shrinkage in the Al/SiC Composite,2003,Materials Science Forum,journal article,,414-415
10.4028/www.scientific.net/msf.433-436.25,Towards a Continuous Feeding of the PVT Growth Process: an Experimental Investigation,2003,Materials Science Forum,journal article,,433-436
10.4028/www.scientific.net/msf.338-342.3,Status of Large Diameter SiC Crystal Growth for Electronic and Optical Applications,2000,Materials Science Forum,journal article,,338-342
10.4028/www.scientific.net/msf.433-436.87,A Study of HTCVD Renewing of the SiC Polycrystalline Source during the PVT Process,2003,Materials Science Forum,journal article,,433-436
10.4028/www.scientific.net/msf.338-342.131,Fast SiC Epitaxial Growth in a Chimney CVD Reactor and HTCVD Crystal Growth Developments,2000,Materials Science Forum,journal article,,338-342
10.4028/www.scientific.net/msf.433-436.103,Heat Transfer Modeling of a New Crystal Growth Process,2003,Materials Science Forum,journal article,,433-436
10.4028/www.scientific.net/msf.433-436.265,"Investigation of Defects in 4H-SiC by Synchrotron Topography, Raman Spectroscopy Imaging and Photoluminescence Spectroscopy Imaging",2003,Materials Science Forum,journal article,,433-436
10.1557/s0883769400032735,SiC-Seeded Crystal Growth,1997,MRS Bulletin,journal article,3,22
10.1063/1.113202,Semi‐insulating 6H–SiC grown by physical vapor transport,1995,Applied Physics Letters,journal article,11,66
10.4028/www.scientific.net/msf.433-436.621,Electrical Characterization of Ion-Implanted n<sup>+</sup>/p 6H-SiC Diodes,2003,Materials Science Forum,journal article,,433-436
10.4028/www.scientific.net/msf.389-393.1133,Impact of Material Defects on SiC Schottky Barrier Diodes,2002,Materials Science Forum,journal article,,389-393
10.4028/www.scientific.net/msf.433-436.673,Al/Ti Ohmic Contacts to p-Type Ion-Implanted 6H-SiC: Mono- and Two- Dimensional Analysis of TLM Data,2003,Materials Science Forum,journal article,,433-436
10.1063/1.108964,Contact resistance measurements onp‐type 6H‐SiC,1993,Applied Physics Letters,journal article,4,62
10.1063/1.107191,"Single‐crystalline, epitaxial cubic SiC films grown on (100) Si at 750 °C by chemical vapor deposition",1992,Applied Physics Letters,journal article,14,60
10.1111/j.1151-2916.1987.tb05673.x,Thermal Expansion and Thermal Expansion Anisotropy of SiC Polytypes,1987,Journal of the American Ceramic Society,journal article,7,70
10.1107/s0567740869002457,A review of the structure of silicon carbide,1969,Acta Crystallographica Section B Structural Crystallography and Crystal Chemistry,journal article,3,25
10.4028/www.scientific.net/msf.433-436.999,Microstructure of GaN Layers Grown onto (001) and (111) GaAs Substrates by Molecular Beam Epitaxy,2003,Materials Science Forum,journal article,,433-436
10.1557/proc-423-311,TEM and PL characterisation of MBE-grown epitaxial GaN/GaAs,1996,MRS Proceedings,journal article,,423
10.1063/1.111832,Candela‐class high‐brightness InGaN/AlGaN double‐heterostructure blue‐light‐emitting diodes,1994,Applied Physics Letters,journal article,13,64
10.1063/1.105472,Blue‐green laser diodes,1991,Applied Physics Letters,journal article,11,59
10.1016/0022-0248(85)90198-8,Electron beam pumped II–VI lasers,1985,Journal of Crystal Growth,journal article,1-2,72
10.4028/www.scientific.net/msf.457-460.139,In Situ SiC Feeding by Chemical Vapor Deposition for Bulk Growth,2004,Materials Science Forum,journal article,,457-460
10.1149/1.1606689,Continuous Feed Physical Vapor Transport,2003,Journal of The Electrochemical Society,journal article,10,150
10.4028/www.scientific.net/msf.389-393.15,Opportunities and Technical Strategies for Silicon Carbide Device Development,2002,Materials Science Forum,journal article,,389-393
10.4028/www.scientific.net/msf.457-460.135,Comparison between Various Chemical Systems for the CVD Step in the CF-PVT Crystal Growth Method,2004,Materials Science Forum,journal article,,457-460
10.4028/www.scientific.net/msf.457-460.387,Electron Back Scattering Diffraction (EBSD) as a Tool for the Investigation of 3C-SiC Nucleation and Growth on 6H or 4H,2004,Materials Science Forum,journal article,,457-460
10.4028/www.scientific.net/msf.389-393.319,Heteroepitaxial Growth and Characteristics of 3C-SiC on Large-Diameter Si(001) Substrates,2002,Materials Science Forum,journal article,,389-393
10.4028/www.scientific.net/msf.461-464.343,Microstructural Transformation in Platinum Aluminide Coated on CMSX-4 Superalloy,2004,Materials Science Forum,journal article,,461-464
10.1016/s1270-9638(99)00108-x,Evolution of Ni-based superalloys for single crystal gas turbine blade applications,1999,Aerospace Science and Technology,journal article,8,3
10.4028/www.scientific.net/msf.457-460.837,Structural Characterization of Alloyed Al/Ti and Ti Contacts on SiC,2004,Materials Science Forum,journal article,,457-460
10.1557/proc-742-k6.2,Contact resistivity of Al/Ti ohmic contacts on p-type ion implanted 4H- and 6H-SiC.,2002,MRS Proceedings,journal article,,742
10.4028/www.scientific.net/msf.389-393.827,"A Comparative Study of High-Temperature Aluminum Post-Implantation Annealing in 6H- and 4H-SiC, Non-Uniform Temperature Effects",2002,Materials Science Forum,journal article,,389-393
10.4028/www.scientific.net/msf.457-460.881,Contact Resistivity and Barrier Height of Al/Ti Ohmic Contacts on p-Type Ion Implanted 4H- and 6H-SiC,2004,Materials Science Forum,journal article,,457-460
10.1016/s0038-1101(97)00168-8,Titanium and aluminum-titanium ohmic contacts to p-type SiC,1997,Solid-State Electronics,journal article,11,41
10.4028/www.scientific.net/msf.457-460.1025,The Role of the Ion Implanted Emitter State on 6H-SiC Power Diodes Behavior. A Statistical Study,2004,Materials Science Forum,journal article,,457-460
10.4028/www.scientific.net/msf.264-268.737,Stoichiometric Disturbances in Ion Implanted Silicon Carbide,1998,Materials Science Forum,journal article,,264-268
10.4028/www.scientific.net/msf.457-460.1357,Characterization of a Thermal Oxidation Process on SiC Preamorphized by Ar Ion Implantation,2004,Materials Science Forum,journal article,,457-460
10.1063/1.125819,Comparison of nitrogen incorporation in SiO2/SiC and SiO2/Si structures,2000,Applied Physics Letters,journal article,5,76
10.1016/s0167-9317(97)00041-5,SiO2 as an insulator for SiC devices,1997,Microelectronic Engineering,journal article,1-4,36
10.1155/2007/71974,Low-Power Fully Integrated CMOS DTV Tuner Front-End for ATSC Terrestrial Broadcasting,2007,VLSI Design,journal article,,2007
10.1109/4.293114,"A GaAs up converter integrated circuit for a double conversion cable TV ""set-top"" tuner",1994,IEEE Journal of Solid-State Circuits,journal article,6,29
